>	aa
91.545670	12.932927
91.546730	12.937500
91.546875	12.937999
91.547623	12.940568
91.553230	12.959825
91.555031	12.966018
91.560997	12.986511
91.565010	13.000276
91.568771	13.013197
91.574028	13.031250
91.575104	13.034329
91.575172	13.034529
91.576920	13.039505
91.582031	13.054040
91.585892	13.065019
91.587212	13.068777
91.594856	13.090528
91.599243	13.103020
91.603821	13.116037
91.606972	13.125000
91.608170	13.128009
91.611839	13.137259
91.613335	13.141013
91.617188	13.150727
91.623131	13.165703
91.625427	13.171492
91.632935	13.190391
91.639015	13.205721
91.642731	13.215077
91.644188	13.218750
91.645454	13.221761
91.652344	13.238066
91.652908	13.239398
91.653137	13.239945
91.663147	13.263647
91.667595	13.274165
91.673393	13.287893
91.682045	13.308379
91.683640	13.312139
91.683792	13.312500
91.685104	13.315580
91.687500	13.321229
91.693916	13.336346
91.696564	13.342589
91.704193	13.360555
91.711082	13.376794
91.714462	13.384762
91.722656	13.404062
91.723587	13.406250
91.724777	13.408932
91.724953	13.409325
91.725693	13.410994
91.735382	13.432812
91.740883	13.445189
91.745987	13.456689
91.756065	13.479379
91.756592	13.480564
91.757812	13.483307
91.765228	13.500000
91.766754	13.503109
91.767334	13.504303
91.771881	13.513565
91.778694	13.527446
91.788651	13.547745
91.790047	13.550588
91.792969	13.556549
91.801399	13.573728
91.805420	13.581921
91.811218	13.593750
91.812912	13.596710
91.812981	13.596832
91.823967	13.616092
91.825455	13.618690
91.828125	13.623374
91.837990	13.640667
91.843468	13.650257
91.850533	13.662644
91.862961	13.684418
91.863075	13.684620
91.863281	13.684985
91.864716	13.687500
91.866776	13.690596
91.876709	13.705526
91.885391	13.718574
91.890511	13.726272
91.898438	13.738181
91.904312	13.747015
91.908112	13.752725
91.918114	13.767757
91.927094	13.781250
91.929398	13.784286
91.931358	13.786871
91.932304	13.788119
91.933594	13.789814
91.947220	13.807776
91.957260	13.821011
91.962135	13.827433
91.968750	13.836149
91.977051	13.847088
91.983162	13.855147
91.991959	13.866743
91.998230	13.875000
92.000725	13.878004
92.003906	13.881824
92.007339	13.885946
92.010109	13.889278
92.023048	13.904820
92.038528	13.923404
92.038765	13.923693
92.039062	13.924050
92.054474	13.942565
92.066933	13.957525
92.070190	13.961436
92.074219	13.966276
